"","word","mystemuniquewords"
"419","ведет","вести"
"420","вице","вице"
"421","премьер","премьер"
"422","хлопонин","хлопонин"
"423","федеральное","федеральный"
"424","откроет","открывать"
"425","территориальные","территориальный"
"426","органы","орган"
"427","российских","российский"
"428","регионах","регион"
"429","данным","данные"
"430","19",""
"431","мая","май"
"432","планируем","планировать"
"433","создать","создавать"
"434","следующем","следующий"
"435","непонятно","непонятно"
"436","выделят","выделять"
"437","каких","какой"
"438","откроют","открывать"
"439","отделения","отделение"
"440","сведениям","сведение"
"441","тасс","тасс"
"442","выступил","выступать"
"443","журналистами","журналист"
"444","началом","начало"
"445","заседания","заседание"
"446","советов","совет"
"447","межнациональным","межнациональный"
"448","отношениям","отношение"
"449","русскому","русский"
"450","языку","язык"
"451","заработает","зарабатывать"
"452","полную","полный"
"453","силу","сила"
"454","концу","конец"
"455","чиновник","чиновник"
"456","штате","штат"
"457","создании","создание"
"458","2",""
"459","апреля","апрель"
"460","руководителем","руководитель"
"461","назначен","назначать"
"462","зампред","зампред"
"463","госдумы","госдума"
"464","рф","рф"
"465","обороне","оборона"
"466","руках","рука"
"467","сосредоточены","сосредотачивать"
"468","государственный","государственный"
"469","мониторинг","мониторинг"
"470","межконфессиональных","межконфессиональный"
"471","11",""
"472","сентября","сентябрь"
"473","нижнем","нижний"
"474","новгороде","новгород"
"475","поддержке","поддержка"
"476","правительства","правительство"
"477","нижегородской","нижегородский"
"478","области","область"
"479","гильдии","гильдия"
"480","межэтнической","межэтнический"
"481","журналистики","журналистика"
"482","состоялся","состояться"
"483","конгресс","конгресс"
"484","котором","который"
"485","принял","принимать"
"486","представитель","представитель"
"487","дискуссии","дискуссия"
"488","обсуждались","обсуждаться"
"489","стратегии","стратегия"
"490","взаимодействие","взаимодействие"
"491","органов","орган"
"492","гражданскими","гражданский"
"493","институтами","институт"
"494","отвечая","отвечать"
"495","журналистов","журналист"
"496","начальник","начальник"
"497","отдела","отдел"
"498","внешних","внешний"
"499","коммуникаций","коммуникация"
"500","эдуард","эдуард"
"501","лапин","лапин"
"502","важнейших","важный"
"503","задач","задача"
"504","современном","современный"
"505","этапе","этап"
"506","является","являться"
"507","формирование","формирование"
"508","общероссийской","общероссийский"
"509","гражданской","гражданский"
"510","идентичности","идентичность"
"511","реализация","реализация"
"512","осуществима","осуществимый"
"513","условии","условие"
"514","взаимодействя","взаимодействить"
"515","средствами","средство"
"516","массовой","массовый"
"517","информации","информация"
"518","поэтому","поэтому"
"519","конкурс","конкурс"
"520","смиротворец","смиротворец"
"521","посвященный","посвящать"
"522","теме","тема"
"523","проводится","проводиться"
"524","финансовой","финансовый"
"525","организационной","организационный"
"526","направляются","направляться"
"527","средства","средство"
"528","издание","издание"
"529","еженедельного","еженедельный"
"530","приложения","приложение"
"531","акцент","акцент"
"532","газете","газета"
"533","аргументы","аргумент"
"534","недели","неделя"
"535","проекта","проект"
"536","национального","национальный"
"537","акцента","акцент"
"538","реализаются","реализаться"
"539","федеральной","федеральный"
"540","целевой","целевой"
"541","программы","программа"
"542","этнокультурное","этнокультурный"
"543","развитие","развитие"
"544","2014",""
"545","2020",""
"546","годы","год"
"547","медиа","медиа"
"548","центре","центр"
"549","приволжского","приволжский"
"550","округа","округ"
"551","участниками","участник"
"552","конкурса","конкурс"
"553","представители","представитель"
"554","медиасообщества","медиасообщество"
"555","проявили","проявлять"
"556","особый","особый"
"557","интерес","интерес"
"558","обсуждению","обсуждение"
"559","темы","тема"
"560","информационного","информационный"
"561","вовлечению","вовлечение"
"562","молодежи","молодежь"
"563","ряды","ряд"
"564","радикальной","радикальный"
"565","разрабатывает","разрабатывать"
"566","систему","система"
"567","мониторинга","мониторинг"
"568","позволит","позволять"
"569","блогосфере","блогосфера"
"570","выявлять","выявлять"
"571","пресекать","пресекать"
"572","распространения","распространение"
"573","экстремизма","экстремизм"
"574","предотвращать","предотвращать"
"575","возможные","возможный"
"576","межэтнические","межэтнический"
"577","конфликты","конфликт"
"578","журналистам","журналист"
"579","рассказали","рассказывать"
"580","результатах","результат"
"581","последних","последний"
"582","социологических","социологический"
"583","исследований","исследование"
"584","межнациональной","межнациональный"
"585","тематике","тематика"
"586","развитию","развитие"
"587","целях","цель"
"588","2025",""
"589","проведения","проведение"
"590","круглого","круглый"
"591","стола","стол"
"592","докладом","доклад"
"593","выступила","выступать"
"594","маргарита","маргарита"
"595","лянге","лянг"
"596","рассказала","рассказывать"
"597","возрастающем","возрастать"
"598","интересе","интерес"
"599","конкурсу","конкурс"
"600","повышении","повышение"
"601","качества","качество"
"602","выдвигаемых","выдвигать"
"603","работ","работа"
"604","видим","видеть"
"605","насколько","насколько"
"606","глубоко","глубоко"
"607","осознается","осознаваться"
"608","профессионально","профессионально"
"609","освещается","освещаться"
"610","межэтнического","межэтнический"
"611","уверенно","уверенно"
"612","проведение","проведение"
"613","смиротворца","смиротворец"
"614","способствует","способствовать"
"615","богатства","богатство"
"616","подчеркнула","подчеркивать"
"617","завершила","завершать"
"618","работу","работа"
"619","когресса","когресс"
"620","официальная","официальный"
"621","церемония","церемония"
"622","награждения","награждение"
"623","победителей","победитель"
"624","окружного","окружной"
"625","этапа","этап"
"626","которым","который"
"627","вручили","вручать"
"628","дипломы","диплом"
"629","ценные","ценный"
"630","призы","приз"
"631","федеральных","федеральный"
"632","округах","округ"
"633","пройдут","проходить"
"634","ближайшие","близкий"
"635","месяца","месяц"
"636","имена","имя"
"637","лучших","хороший"
"638","смиротворцев","смиротворец"
"639","названы","называть"
"640","официальной","официальный"
"641","церемонии","церемония"
"642","конце","конец"
"643","ноября","ноябрь"
"644","9",""
"645","заседании","заседание"
"646","федерации","федерация"
"647","рассматривался","рассматриваться"
"648","исполнении","исполнение"
"649","бюджета","бюджет"
"650","первом","первый"
"651","полугодии","полугодие"
"652","высокие","высокий"
"653","показатели","показатель"
"654","работе","работа"
"655","продемонстрировало","продемонстрировать"
"656","программе","программа"
"657","государственным","государственный"
"658","заказчиком","заказчик"
"659","координатором","координатор"
"660","месяцев","месяц"
"661","заключено","заключать"
"662","66",""
"663","государственных","государственный"
"664","контрактов","контракт"
"665","соглашений","соглашение"
"666","сумму","сумма"
"667","1",""
"668","245",""
"669","831,5",""
"670","тыс","тыс"
"671","рублей","рубль"
"672","составляет","составлять"
"673","96",""
"674","объема","объем"
"675","годовых","годовой"
"676","бюджетных","бюджетный"
"677","назначений","назначение"
"678","предоставление","предоставление"
"679","субсидий","субсидия"
"680","поддержку","поддержка"
"681","социально","социально"
"682","экономического","экономический"
"683","севера","север"
"684","сибири","сибирь"
"685","дальнего","дальний"
"686","востока","восток"
"687","осуществляется","осуществляться"
"688","подпрограммы","подпрограмма"
"689","культуры","культура"
"690","2013",""
"691","выступает","выступать"
"692","субъектами","субъект"
"693","предоставлении","предоставление"
"694","иных","иной"
"695","межбюджетных","межбюджетный"
"696","трансфертов","трансферт"
"697","направленных","направлять"
"698","социального","социальный"
"699","общую","общий"
"700","139",""
"701","974",""
"702","68,2",""
"703","общего","общий"
"704","финансирования","финансирование"
"705","8",""
"706","екатеринбурге","екатеринбург"
"707","совещание","совещание"
"708","вопросам","вопрос"
"709","разработки","разработка"
"710","внедрения","внедрение"
"711","системы","система"
"712","совещании","совещание"
"713","губернатор","губернатор"
"714","свердловской","свердловский"
"715","евгений","евгений"
"716","куйвашев","куйвашев"
"717","федеральный","федеральный"
"718","инспектор","инспектор"
"719","андрей","андрей"
"720","березовский","березовский"
"721","муниципальных","муниципальный"
"722","научного","научный"
"723","сообщества","сообщество"
"724","общественных","общественный"
"725","открывая","открывать"
"726","региональные","региональный"
"727","уделяют","уделять"
"728","пристальное","пристальный"
"729","внимание","внимание"
"730","поддержанию","поддержание"
"731","40",""
"732","различных","различный"
"733","регионе","регион"
"734","выразил","выражать"
"735","уверенность","уверенность"
"736","федеральным","федеральный"
"737","агентством","агентство"
"738","результативным","результативный"
"739","поддержал","поддерживать"
"740","выбор","выбор"
"741","свердловскую","свердловский"
"742","область","область"
"743","пилотным","пилотный"
"744","регионом","регион"
"745","новой","новый"
"746","представил","представлять"
"747","коллегам","коллега"
"748","разработке","разработка"
"749","учтен","учитывать"
"750","минрегиона","минрегион"
"751","академии","академия"
"752","наук","наука"
"753","экспертного","экспертный"
"754","результаты","результат"
"755","создания","создание"
"756","центра","центр"
"757","управления","управление"
"758","обороной","оборона"
"759","используются","использоваться"
"760","инновационные","инновационный"
"761","российские","российский"
"762","технологии","технология"
"763","называемый","называть"
"764","искусственный","искусственный"
"765","интеллект","интеллект"
"766","система","система"
"767","оценивать","оценивать"
"768","состояние","состояние"
"769","экономических","экономический"
"770","социальных","социальный"
"771","культурно","культурно"
"772","языковых","языковой"
"773","этнодемографических","этнодемографический"
"774","факторов","фактор"
"775","влияющих","влиять"
"776","возможное","возможный"
"777","появление","появление"
"778","очагов","очаг"
"779","напряжения","напряжение"
"780","возникновение","возникновение"
"781","конфликтов","конфликт"
"782","создание","создание"
"783","самоцель","самоцель"
"784","инструмент","инструмент"
"785","осуществлении","осуществление"
"786","помогать","помогать"
"787","должностным","должностной"
"788","лицам","лицо"
"789","различного","различный"
"790","уровня","уровень"
"791","принятии","принятие"
"792","управленческих","управленческий"
"793","решений","решение"
"794","особо","особо"
"795","внедрение","внедрение"
"796","привести","приводить"
"797","появлению","появление"
"798","очередных","очередной"
"799","многочисленных","многочисленный"
"800","форм","форма"
"801","отчетности","отчетность"
"802","госслужащих","госслужащий"
"803","местах","место"
"804","должна","должный"
"805","громоздкой","громоздкий"
"806","использование","использование"
"807","вызывать","вызывать"
"808","трудностей","трудность"
"809","обычных","обычный"
"810","пользователей","пользователь"
"811","учитывать","учитывать"
"812","особенности","особенность"
"813","изменения","изменение"
"814","общественно","общественный"
"815","политической","политический"
"816","экономической","экономический"
"817","обстановке","обстановка"
"818","специалистами","специалист"
"819","разработаны","разрабатывать"
"820","28",""
"821","индикаторов","индикатор"
"822","конфликтности","конфликтность"
"823","подразделяются","подразделяться"
"824","категорий","категория"
"825","среда","среда"
"826","ресурсы","ресурс"
"827","демография","демография"
"828","миграция","миграция"
"829","власть","власть"
"830","политика","политика"
"831","экономика","экономика"
"832","социальная","социальный"
"833","сфера","сфера"
"834","культура","культура"
"835","образование","образование"
"836","информация","информация"
"837","контакты","контакт"
"838","стереотипы","стереотип"
"839","внешние","внешний"
"840","условия","условие"
"841","межнациональные","межнациональный"
"842","своевременно","своевременно"
"843","оповещать","оповещать"
"844","руководителей","руководитель"
"845","формировать","формировать"
"846","рейтинги","рейтинг"
"847","субъектов","субъект"
"848","доступность","доступность"
"849","значимых","значимый"
"850","объектов","объект"
"851","новую","новый"
"852","модель","модель"
"853","планируется","планироваться"
"854","запустить","запускать"
"855","ближайшее","близкий"
"856","нескольких","несколько"
"857","пилотных","пилотный"
"858","ханты","ханты"
"859","мансийском","мансийский"
"860","автономном","автономный"
"861","округе","округ"
"862","крыму","крым"
"863","анализа","анализ"
"864","прогноза","прогноз"
"865","дмитрий","дмитрий"
"866","савельев","савельев"
"867","дополнил","дополнять"
"868","основными","основной"
"869","источниками","источник"
"870","станут","становиться"
"871","данные","данные"
"872","сводки","сводка"
"873","аналитические","аналитический"
"874","материалы","материал"
"875","муниципалитетов","муниципалитет"
"876","сми","сми"
"877","интернет","интернет"
"878","пространства","пространство"
"879","обращений","обращение"
"880","граждан","гражданин"
"881","социологические","социологический"
"882","исследования","исследование"
"883","экспертным","экспертный"
"884","сообществом","сообщество"
"885","автономиями","автономия"
"886","основании","основание"
"887","результатов","результат"
"888","формируется","формироваться"
"889","этносоциальный","этносоциальный"
"890","паспорт","паспорт"
"891","местности","местность"
"892","содержащий","содержать"
"893","информацию","информация"
"894","факторах","фактор"
"895","неудовлетворенности","неудовлетворенность"
"896","общин","община"
"897","диаспор","диаспора"
"898","внутренних","внутренний"
"899","механизмах","механизм"
"900","общинами","община"
"901","данной","давать"
"902","окончании","окончание"
"903","совещания","совещание"
"904","подписали","подписывать"
"905","соглашение","соглашение"
"906","взаимодействии","взаимодействие"
"907","предусматривает","предусматривать"
"908","профилактики","профилактика"
"909","предупреждения","предупреждение"
"910","религиозной","религиозный"
"911","почве","почва"
"912","таким","такой"
"913","направлениям","направление"
"914","осуществление","осуществление"
"915","совершенствование","совершенствование"
"916","повышения","повышение"
"917","квалификации","квалификация"
"918","занимающихся","заниматься"
"919","реализацией","реализация"
"920","госнацполитики","госнацполитика"
"921","деятелей","деятель"
"922","информацией","информация"
"923","организация","организация"
"924","региона","регион"
"925","научно","научно"
"926","исследовательской","исследовательский"
"927","деятельности","деятельность"
"928","направленной","направлять"
"929","профилактику","профилактика"
"930","сохранение","сохранение"
"931","духовных","духовный"
"932","традиций","традиция"
"933","интеграцию","интеграция"
"934","социализацию","социализация"
"935","мигрантов","мигрант"
"936","донской","донской"
"937","иконы","икона"
"938","божией","божий"
"939","матери","мать"
"940","святейший","святой"
"941","патриарх","патриарх"
"942","московский","московский"
"943","всея","весь"
"944","руси","русь"
"945","кирилл","кирилл"
"946","совершил","совершать"
"947","божественную","божественный"
"948","литургию","литургия"
"949","большом","большой"
"950","соборе","собор"
"951","донского","донской"
"952","ставропигиального","ставропигиальный"
"953","мужского","мужской"
"954","монастыря","монастырь"
"955","празднику","праздник"
"956","третьяковской","третьяковский"
"957","галереи","галерея"
"958","обитель","обитель"
"959","принесена","приносить"
"960","чудотворная","чудотворный"
"961","донская","донской"
"962","икона","икона"
"963","богослужении","богослужение"
"964","присутствовали","присутствовать"
"965","заместитель","заместитель"
"966","михаил","михаил"
"967","ипатов","ипатов"
"968","министра","министр"
"969","финансов","финансы"
"970","иванов","иванов"
